0 30100000000 1.0
Linear 3 explicit
 0.000000 0.0 0.0 0.0
 0.010000 -1.3456706306105481 114.4190028077841 -288.30726542729474
 0.020000 -0.6118487712075737 149.1794278281347 -332.0407899269658
 0.030000 -0.2351633878778872 129.73419379871 -309.7732011723467
 0.040000 -0.20079688347412733 95.90070565106748 -258.1093929904049
 0.050000 0.5322971551450765 94.4753181073505 -127.93800821653514
 0.060000 -0.313058653428094 50.23253026865844 -40.51435220236577
 0.070000 -2.117112659572814 28.180148289165743 -51.782026840429495
 0.080000 -3.1559673359917793 5.222503389945331 -56.73174819686017
 0.090000 -0.9608312891100893 19.77553738146547 50.6793512888711
 0.100000 -0.40368767940961175 -7.661624488928489 36.66357943565418
 0.110000 0.07172516413426033 -23.55752567248549 10.273460742990798
 0.120000 -0.7479643052590295 -27.901991266059994 -82.80472162787581
 0.130000 -1.723569527538305 -38.67483859735009 -131.24611392335274
 0.140000 -0.4882410728054807 -8.349631493559663 -22.131986269049328
 0.150000 -1.0484677013297021 -24.197618076302476 -18.73687374432082
 0.160000 17.048125148205884 -34.994742973783474 -86.81540729629435
 0.170000 -25.38504017359041 -27.980669774475146 -60.05258137597805
 0.180000 -31.15428793285568 -40.27249827649334 -86.66496434616377
 0.190000 42.84275377230446 -23.103200591071058 -31.69276423639905
 0.200000 -36.90192591037795 -4.969639670142735 5.853356580027285
 0.210000 -46.18229324061903 -15.694155227961971 -49.685412888116915
 0.220000 9.104627383514114 -12.976860665753698 -20.278418292053473
 0.230000 24.709706557601038 -31.177603982576912 -58.37329241485422
 0.240000 -38.14152422586034 -20.113515066675774 -26.718591517639176
 0.250000 41.75851939308911 -6.809681340585684 -4.243237025551554
 0.260000 48.041091547926214 -21.832421157715842 -67.43543282760993
 0.270000 -8.994877203726105 -18.887227949762888 -44.47287900511043
 0.280000 -25.612633925091416 -36.16622507454706 -81.06409945867252
 0.290000 41.86838090495473 -23.35304363293058 -38.42092799924429
 0.300000 -36.360732112839706 -7.884675724993244 -7.848285345527309
 0.310000 -45.07553875302719 -19.821572705916992 -65.99028047641687
 0.320000 9.029126128988594 -16.50615774112135 -33.91242718511566
 0.330000 20.152840109309636 -33.454433619772374 -67.51148472985297
 0.340000 -47.73891013779867 -20.77766602143206 -29.726827024982967
 0.350000 32.22186696181335 -5.872516978415746 -1.726955295456225
 0.360000 42.092704348744434 -19.812837637415214 -60.85791045191279
 0.370000 -8.061284352052354 -16.744099294111805 -37.20863157958382
 0.380000 -19.67971272817431 -34.116624677186365 -74.21495053333062
 0.390000 47.47734283128358 -22.089707741458657 -33.779906209573596
 0.400000 -34.617637013959104 -7.501913238538943 -6.326697760918954
 0.410000 -47.95890505378836 -20.291262310953854 -66.65917548736178
 0.420000 4.226209897154334 -17.33062257404267 -36.76099780755091
 0.430000 17.43422351556589 -34.489262462897585 -71.05348605191563
 0.440000 -45.786077394429604 -21.6192018594727 -33.08425440898555
 0.450000 37.8199317033154 -6.32982726981704 -3.767556541173416
 0.460000 47.36076077689631 -20.089888107149193 -61.9355467399201
