#---------- Tue Nov 29 16:11:04 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,true,0.01,1
3,true,0.01,1
6,true,0.01,1
9,true,0.01,1
12,true,0.01,1
17,true,0.01,1
23,true,0.01,1
29,true,0.01,1
39,true,0.01,1
43,true,0.01,1
51,true,0.01,1
60,true,0.01,1
67,true,0.01,1
73,true,0.01,1
82,true,0.01,1
90,true,0.01,1
98,true,0.01,1
106,true,0.01,1
114,true,0.01,1
123,true,0.01,1
132,true,0.01,1
143,true,0.01,1
150,true,0.01,1
159,true,0.01,1
168,true,0.01,1
178,true,0.01,1
188,true,0.01,1
198,true,0.01,1
208,true,0.01,1
218,true,0.01,1
228,true,0.01,1
238,true,0.01,1
248,true,0.01,1
258,true,0.01,1
268,true,0.01,1
278,true,0.01,1
287,true,0.01,1
295,true,0.01,1
304,true,0.01,1
315,true,0.01,1
325,true,0.01,1
335,true,0.01,1
345,true,0.01,1
354,true,0.01,1
364,true,0.01,1
374,true,0.01,1
384,true,0.01,1
395,true,0.01,1
410,true,0.01,1
419,true,0.01,1
427,true,0.01,1
436,true,0.01,1
447,false,0.01,1
454,true,0.01,1
467,true,0.01,1
479,true,0.01,1
485,true,0.01,1
495,true,0.01,1
505,true,0.01,1
515,true,0.01,1
529,true,0.01,1
539,true,0.01,1
547,true,0.01,1
557,true,0.01,1
566,true,0.01,1
575,false,0.01,1
585,true,0.01,1
594,true,0.01,1
602,true,0.01,1
613,true,0.01,1
623,true,0.01,1
632,true,0.01,1
642,true,0.01,1
654,false,0.01,1
659,true,0.01,1
671,true,0.01,1
682,false,0.01,1
688,true,0.01,1
701,false,0.01,1
714,true,0.01,1
725,true,0.01,1
734,true,0.01,1
744,false,0.01,1
754,true,0.01,1
763,true,0.01,1
772,true,0.01,1
782,true,0.01,1
792,true,0.01,1
802,true,0.01,1
812,true,0.01,1
822,true,0.01,1
835,true,0.01,1
849,true,0.01,1
857,true,0.01,1
866,true,0.01,1
876,true,0.01,1
883,true,0.01,1
895,true,0.01,1
904,true,0.01,1
913,true,0.01,1
924,false,0.01,1
932,true,0.01,1
946,true,0.01,1
951,false,0.01,1
969,true,0.01,1
979,false,0.01,1
989,false,0.01,1
999,true,0.01,1
1008,true,0.01,1
1018,true,0.01,1
1028,true,0.01,1
1038,true,0.01,1
1046,true,0.01,1
1058,false,0.01,1
1072,true,0.01,1
1082,true,0.01,1
1089,true,0.01,1
1096,false,0.01,1
1108,true,0.01,1
1116,true,0.01,1
1126,true,0.01,1
1138,false,0.01,1
1148,false,0.01,1
1160,false,0.01,1
1169,false,0.01,1
1177,false,0.01,1
1186,false,0.01,1
1198,true,0.01,1
1205,false,0.01,1
1217,true,0.01,1
1226,true,0.01,1
1235,true,0.01,1
1244,true,0.01,1
1251,true,0.01,1
1258,false,0.01,1
1267,true,0.01,1
1279,true,0.01,1
1290,true,0.01,1
1294,true,0.01,1
1304,false,0.01,1
1313,false,0.01,1
1322,false,0.01,1
1331,false,0.01,1
1341,true,0.01,1
1350,true,0.01,1
1358,false,0.01,1
1368,true,0.01,1
1376,true,0.01,1
1383,false,0.01,1
1392,false,0.01,1
1401,false,0.01,1
1407,false,0.01,1
1420,false,0.01,1
1426,true,0.01,1
1435,true,0.01,1
1443,true,0.01,1
1451,true,0.01,1
1461,false,0.01,1
1468,false,0.01,1
1476,false,0.01,1
1489,false,0.01,1
1499,false,0.01,1
1505,false,0.01,1
1520,false,0.01,1
1526,false,0.01,1
1530,false,0.01,1
1545,false,0.01,1
1550,false,0.01,1
1559,false,0.01,1
1569,false,0.01,1
1578,false,0.01,1
1588,false,0.01,1
1596,false,0.01,1
1608,false,0.01,1
1615,true,0.01,1
