TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55819,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0,0.2
55829,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0,0.5
55843,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0.5,0.2
55855,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0,0.2
55865,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0,0.5
55875,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0.2,0
55885,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0.2,0.2
55895,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0.2,0.5
55906,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0.5,0.2
55917,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0,0
55929,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0.2,0
55939,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0.2,0.2
55949,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0.2,0.5
55960,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0.5,0.2
55968,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0.5,0
55977,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0.5,0
55986,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0.5,0
55993,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0.2,0.2
56004,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0.5,0
56015,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.2,0.5,0.5
56025,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0,0,0
56035,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.2,0,0.2
56045,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.5,0,0.5
56058,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0,0.5,0
56066,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.2,0.2,0.5
56077,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.5,0.5,0.2
56087,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0,0.5,0.5
56097,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.5,0,0
56107,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0,0,0.2
56117,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0.2,0,0.5
56130,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0.5,0.5,0
56141,0.5,0.5,0.2,0.5,0,0,0,0,0,0.5,0.5
56151,0.5,0.5,0.2,0.5,0,0,0,0,0.5,0,0
56156,0.5,0.5,0.2,0.5,0,0,0,0,0.5,0.2,0.5
56168,0.5,0.5,0.2,0.5,0,0,0,0.2,0,0.5,0.5
56180,0.5,0.5,0.2,0.5,0,0,0,0.2,0.5,0,0.5
56192,0.5,0.5,0.2,0.5,0,0,0,0.5,0,0.2,0.5
56207,0.5,0.5,0.2,0.5,0,0,0,0.5,0.5,0,0.5
56218,0.5,0.5,0.2,0.5,0,0,0.2,0,0,0.2,0.2
56228,0.5,0.5,0.2,0.5,0,0,0.2,0,0.2,0.2,0.5
56239,0.5,0.5,0.2,0.5,0,0,0.2,0,0.5,0.5,0.2
56249,0.5,0.5,0.2,0.5,0,0,0.2,0.2,0,0.5,0.5
56259,0.5,0.5,0.2,0.5,0,0,0.2,0.2,0.5,0,0
56269,0.5,0.5,0.2,0.5,0,0,0.2,0.5,0,0,0.2
56280,0.5,0.5,0.2,0.5,0,0,0.2,0.5,0.2,0.2,0
56287,0.5,0.5,0.2,0.5,0,0,0.2,0.5,0.5,0,0.2
56300,0.5,0.5,0.2,0.5,0,0,0.5,0,0,0.2,0.5
56311,0.5,0.5,0.2,0.5,0,0,0.5,0,0.2,0.5,0.2
56318,0.5,0.5,0.2,0.5,0,0,0.5,0,0.5,0.2,0.5
56328,0.5,0.5,0.2,0.5,0,0,0.5,0.2,0,0.5,0
56339,0.5,0.5,0.2,0.5,0,0,0.5,0.2,0.2,0.5,0.5
56349,0.5,0.5,0.2,0.5,0,0,0.5,0.5,0,0,0
56359,0.5,0.5,0.2,0.5,0,0,0.5,0.5,0.2,0,0.2
56369,0.5,0.5,0.2,0.5,0,0,0.5,0.5,0.5,0,0.5
56380,0.5,0.5,0.2,0.5,0,0.2,0,0,0,0.2,0.2
56388,0.5,0.5,0.2,0.5,0,0.2,0,0,0.2,0.2,0
56398,0.5,0.5,0.2,0.5,0,0.2,0,0,0.5,0.2,0.2
56410,0.5,0.5,0.2,0.5,0,0.2,0,0.2,0,0.5,0.2
56422,0.5,0.5,0.2,0.5,0,0.2,0,0.2,0.5,0,0.2
56425,0.5,0.5,0.2,0.5,0,0.2,0,0.2,0.5,0.2,0.2
56439,0.5,0.5,0.2,0.5,0,0.2,0,0.5,0.2,0,0
56442,0.5,0.5,0.2,0.5,0,0.2,0,0.5,0.2,0.2,0
56456,0.5,0.5,0.2,0.5,0,0.2,0,0.5,0.5,0.5,0.5
56463,0.5,0.5,0.2,0.5,0,0.2,0.2,0,0,0.5,0
56474,0.5,0.5,0.2,0.5,0,0.2,0.2,0,0.2,0.5,0.5
56484,0.5,0.5,0.2,0.5,0,0.2,0.2,0.2,0,0,0
56494,0.5,0.5,0.2,0.5,0,0.2,0.2,0.2,0.2,0,0.2
56504,0.5,0.5,0.2,0.5,0,0.2,0.2,0.2,0.5,0,0.5
56515,0.5,0.5,0.2,0.5,0,0.2,0.2,0.5,0,0.2,0.2
56523,0.5,0.5,0.2,0.5,0,0.2,0.2,0.5,0.2,0.2,0
56531,0.5,0.5,0.2,0.5,0,0.2,0.2,0.5,0.5,0,0.5
56546,0.5,0.5,0.2,0.5,0,0.2,0.5,0,0,0.5,0.5
56556,0.5,0.5,0.2,0.5,0,0.2,0.5,0,0.5,0,0
56566,0.5,0.5,0.2,0.5,0,0.2,0.5,0.2,0,0,0.2
56576,0.5,0.5,0.2,0.5,0,0.2,0.5,0.2,0.2,0,0.5
56586,0.5,0.5,0.2,0.5,0,0.2,0.5,0.2,0.5,0.2,0
56596,0.5,0.5,0.2,0.5,0,0.2,0.5,0.5,0,0.2,0.2
56606,0.5,0.5,0.2,0.5,0,0.2,0.5,0.5,0.2,0.2,0.5
56616,0.5,0.5,0.2,0.5,0,0.2,0.5,0.5,0.5,0.5,0
56625,0.5,0.5,0.2,0.5,0,0.5,0,0,0,0.5,0
56637,0.5,0.5,0.2,0.5,0,0.5,0,0,0.5,0,0
56641,0.5,0.5,0.2,0.5,0,0.5,0,0,0.5,0.2,0.2
56651,0.5,0.5,0.2,0.5,0,0.5,0,0.2,0,0.2,0.5
56660,0.5,0.5,0.2,0.5,0,0.5,0,0.2,0.2,0.2,0.5
56669,0.5,0.5,0.2,0.5,0,0.5,0,0.2,0.5,0.2,0.5
56679,0.5,0.5,0.2,0.5,0,0.5,0,0.5,0,0.5,0
56687,0.5,0.5,0.2,0.5,0,0.5,0,0.5,0.2,0.2,0.5
56700,0.5,0.5,0.2,0.5,0,0.5,0.2,0,0,0,0
56711,0.5,0.5,0.2,0.5,0,0.5,0.2,0,0.2,0,0.5
56720,0.5,0.5,0.2,0.5,0,0.5,0.2,0,0.5,0,0.5
56731,0.5,0.5,0.2,0.5,0,0.5,0.2,0.2,0,0.2,0.2
56741,0.5,0.5,0.2,0.5,0,0.5,0.2,0.2,0.2,0.2,0.5
56749,0.5,0.5,0.2,0.5,0,0.5,0.2,0.2,0.5,0.2,0.2
56759,0.5,0.5,0.2,0.5,0,0.5,0.2,0.5,0,0.2,0.5
56768,0.5,0.5,0.2,0.5,0,0.5,0.2,0.5,0.2,0.2,0.5
56777,0.5,0.5,0.2,0.5,0,0.5,0.2,0.5,0.5,0.2,0.5
56784,0.5,0.5,0.2,0.5,0,0.5,0.5,0,0,0.2,0
56797,0.5,0.5,0.2,0.5,0,0.5,0.5,0,0.2,0.5,0.2
56804,0.5,0.5,0.2,0.5,0,0.5,0.5,0,0.5,0.2,0.5
56817,0.5,0.5,0.2,0.5,0,0.5,0.5,0.2,0.2,0,0
56828,0.5,0.5,0.2,0.5,0,0.5,0.5,0.2,0.5,0,0.5
56838,0.5,0.5,0.2,0.5,0,0.5,0.5,0.5,0,0.2,0
56848,0.5,0.5,0.2,0.5,0,0.5,0.5,0.5,0.2,0.2,0.2
56858,0.5,0.5,0.2,0.5,0,0.5,0.5,0.5,0.5,0.2,0.5
56868,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0
56878,0.5,0.5,0.5,0,0,0,0,0,0.2,0.5,0.2
56889,0.5,0.5,0.5,0,0,0,0,0.2,0,0,0
56894,0.5,0.5,0.5,0,0,0,0,0.2,0,0.2,0.5
56904,0.5,0.5,0.5,0,0,0,0,0.2,0.2,0.5,0
56919,0.5,0.5,0.5,0,0,0,0,0.5,0,0.2,0
56929,0.5,0.5,0.5,0,0,0,0,0.5,0.2,0.2,0.2
56939,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.2,0.5
