TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55825,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0.5,0.2
55834,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0.5,0.2
55844,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0.5,0.5
55853,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0.5,0.5
55863,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0,0
55873,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0,0.2
55883,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0,0.5
55893,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0.2,0
55903,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0.2,0.2
55914,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0.5,0
55926,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0,0
55936,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0,0.2
55945,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0,0.2
55952,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0.5,0.5
55962,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0,0
55973,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0,0.5
55985,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0.2,0.5
55992,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0.2,0
56001,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0.2,0
