TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
49599,0.5,0.2,0.2,0.5,0,0,0,0.2,0,0,0
49608,0.5,0.2,0.2,0.5,0,0,0,0.2,0.2,0,0
49617,0.5,0.2,0.2,0.5,0,0,0,0.2,0.5,0,0
49619,0.5,0.2,0.2,0.5,0,0,0,0.2,0.5,0,0.5
49636,0.5,0.2,0.2,0.5,0,0,0,0.5,0.2,0,0.2
49648,0.5,0.2,0.2,0.5,0,0,0,0.5,0.5,0.2,0.2
49661,0.5,0.2,0.2,0.5,0,0,0.2,0,0,0.5,0.5
49671,0.5,0.2,0.2,0.5,0,0,0.2,0,0.5,0,0
49681,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0,0,0.2
49693,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0.2,0.2,0.2
49701,0.5,0.2,0.2,0.5,0,0,0.2,0.2,0.5,0.2,0
49712,0.5,0.2,0.2,0.5,0,0,0.2,0.5,0,0.2,0.5
49721,0.5,0.2,0.2,0.5,0,0,0.2,0.5,0.2,0.2,0.5
49730,0.5,0.2,0.2,0.5,0,0,0.2,0.5,0.5,0.2,0.5
49737,0.5,0.2,0.2,0.5,0,0,0.5,0,0,0.2,0
49747,0.5,0.2,0.2,0.5,0,0,0.5,0,0.2,0.2,0.2
49758,0.5,0.2,0.2,0.5,0,0,0.5,0,0.5,0.5,0
49767,0.5,0.2,0.2,0.5,0,0,0.5,0.2,0,0.5,0
49778,0.5,0.2,0.2,0.5,0,0,0.5,0.2,0.2,0.5,0.5
49788,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0,0,0
49796,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0,0.5,0.5
49807,0.5,0.2,0.2,0.5,0,0,0.5,0.5,0.5,0,0.2
49818,0.5,0.2,0.2,0.5,0,0.2,0,0,0,0.2,0
49825,0.5,0.2,0.2,0.5,0,0.2,0,0,0.2,0,0.2
49838,0.5,0.2,0.2,0.5,0,0.2,0,0,0.5,0.2,0.5
49848,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0,0.5,0
49856,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0.2,0.2,0.5
49867,0.5,0.2,0.2,0.5,0,0.2,0,0.2,0.5,0.5,0.2
49875,0.5,0.2,0.2,0.5,0,0.2,0,0.5,0,0.5,0
49884,0.5,0.2,0.2,0.5,0,0.2,0,0.5,0.2,0.5,0
