TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55822,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0.2,0.2
55833,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0.5,0
55840,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0.2,0.2
55852,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0.5,0.2
55861,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0.5,0.2
55868,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0.2,0.5
55878,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0.5,0
55888,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0.5,0.2
55901,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0,0.5
55908,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0,0
55920,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0.2,0
55930,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0.2,0.2
55940,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0.2,0.5
55955,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0,0.5
55963,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0,0.2
55972,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0,0.2
55983,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0.2,0
55994,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0.2,0.5
