#---------- Tue Nov 29 16:11:47 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
13,true,0.01,1
18,true,0.01,1
25,true,0.01,1
32,true,0.01,1
38,true,0.01,1
48,true,0.01,1
53,true,0.01,1
61,true,0.01,1
69,true,0.01,1
77,true,0.01,1
86,true,0.01,1
95,true,0.01,1
103,true,0.01,1
111,true,0.01,1
119,true,0.01,1
127,true,0.01,1
133,true,0.01,1
141,true,0.01,1
151,true,0.01,1
158,true,0.01,1
167,true,0.01,1
177,true,0.01,1
187,true,0.01,1
197,true,0.01,1
206,true,0.01,1
216,true,0.01,1
224,true,0.01,1
237,true,0.01,1
247,true,0.01,1
257,true,0.01,1
267,true,0.01,1
277,true,0.01,1
286,true,0.01,1
294,true,0.01,1
306,true,0.01,1
316,true,0.01,1
327,true,0.01,1
337,true,0.01,1
346,true,0.01,1
356,true,0.01,1
365,true,0.01,1
375,true,0.01,1
390,true,0.01,1
401,true,0.01,1
406,false,0.01,1
417,true,0.01,1
431,true,0.01,1
439,false,0.01,1
448,false,0.01,1
458,true,0.01,1
470,true,0.01,1
477,true,0.01,1
484,true,0.01,1
494,true,0.01,1
504,true,0.01,1
514,true,0.01,1
526,true,0.01,1
534,true,0.01,1
543,true,0.01,1
553,true,0.01,1
563,true,0.01,1
573,false,0.01,1
581,true,0.01,1
592,true,0.01,1
603,true,0.01,1
612,true,0.01,1
620,true,0.01,1
633,true,0.01,1
643,true,0.01,1
653,false,0.01,1
664,false,0.01,1
668,true,0.01,1
680,true,0.01,1
693,true,0.01,1
703,true,0.01,1
712,true,0.01,1
721,true,0.01,1
729,true,0.01,1
739,true,0.01,1
748,true,0.01,1
759,true,0.01,1
766,true,0.01,1
780,true,0.01,1
790,true,0.01,1
800,true,0.01,1
810,true,0.01,1
820,true,0.01,1
829,true,0.01,1
836,true,0.01,1
850,true,0.01,1
859,true,0.01,1
867,true,0.01,1
872,true,0.01,1
882,true,0.01,1
892,true,0.01,1
902,true,0.01,1
912,true,0.01,1
922,true,0.01,1
933,false,0.01,1
942,false,0.01,1
958,true,0.01,1
967,true,0.01,1
976,true,0.01,1
986,true,0.01,1
996,false,0.01,1
1006,false,0.01,1
1016,true,0.01,1
1025,true,0.01,1
1035,true,0.01,1
1045,true,0.01,1
1055,true,0.01,1
1065,true,0.01,1
1076,true,0.01,1
1090,true,0.01,1
1100,true,0.01,1
1109,true,0.01,1
1117,true,0.01,1
1128,true,0.01,1
1136,true,0.01,1
1150,false,0.01,1
1156,true,0.01,1
