TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55820,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0,0.5
55830,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0.2,0
55839,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0.2,0
55849,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0.2,0.2
55860,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0.5,0
55872,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0,0
55882,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0,0.2
55892,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0,0.5
55899,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0,0
55909,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0,0.2
55918,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0,0.2
55923,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0.5,0
55935,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0,0
55947,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0.2,0
55957,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0.2,0.2
55969,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0.5,0.2
55978,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0.5,0.2
55988,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0.5,0.5
55995,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0.5,0
56002,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0.2,0.2
56012,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.2,0.2,0.5
56023,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.5,0.5,0.2
56031,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0,0.5,0
56040,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.2,0.5,0
56050,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.5,0.5,0.2
56059,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0,0.5,0.2
56069,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.2,0.5,0.5
56079,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0,0,0
56089,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.2,0,0.2
56100,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.5,0.2,0
