TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55826,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0.5,0.5
55837,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0,0.2
55846,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0,0.2
55857,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0.2,0
55867,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0.2,0.2
55877,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0.2,0.5
55887,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0.5,0
55897,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0.5,0.2
55910,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0,0.5
55913,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0.2,0.5
55928,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0,0.5
55932,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0.5,0
55944,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0,0
55956,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0.2,0
55964,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0,0.5
55974,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0.2,0
55981,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0,0.2
55998,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0,0
56008,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.2,0,0.2
56019,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.5,0.2,0
56028,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0,0.2,0
56038,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.2,0.2,0.2
56048,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.5,0.2,0.5
56060,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0,0.5,0.5
56070,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.5,0,0
