#---------- Tue Nov 29 16:15:24 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
2672,true,0.01,1
2679,true,0.01,1
2686,true,0.01,1
2691,true,0.01,1
2700,true,0.01,1
2708,true,0.01,1
2715,true,0.01,1
2722,true,0.01,1
2728,true,0.01,1
2734,true,0.01,1
2741,true,0.01,1
2748,true,0.01,1
2756,true,0.01,1
2762,false,0.01,1
2769,false,0.01,1
2775,true,0.01,1
2782,true,0.01,1
2789,false,0.01,1
2796,false,0.01,1
2803,true,0.01,1
2808,true,0.01,1
2814,false,0.01,1
2820,true,0.01,1
2826,true,0.01,1
2834,true,0.01,1
2841,false,0.01,1
2847,false,0.01,1
2851,false,0.01,1
2857,false,0.01,1
2863,true,0.01,1
2868,false,0.01,1
2874,false,0.01,1
2880,true,0.01,1
2886,false,0.01,1
2892,false,0.01,1
2898,true,0.01,1
2904,false,0.01,1
2910,true,0.01,1
2916,true,0.01,1
2922,true,0.01,1
2929,true,0.01,1
2935,false,0.01,1
2940,true,0.01,1
2946,true,0.01,1
2949,true,0.01,1
2955,true,0.01,1
2961,false,0.01,1
2967,true,0.01,1
2973,true,0.01,1
2976,true,0.01,1
2981,true,0.01,1
2990,true,0.01,1
2999,true,0.01,1
3006,true,0.01,1
3012,false,0.01,1
3018,true,0.01,1
3024,true,0.01,1
3028,true,0.01,1
3033,true,0.01,1
3039,true,0.01,1
3045,true,0.01,1
3052,true,0.01,1
3058,true,0.01,1
3065,true,0.01,1
3071,true,0.01,1
3077,true,0.01,1
3082,true,0.01,1
3088,true,0.01,1
3094,false,0.01,1
3100,true,0.01,1
3106,true,0.01,1
3112,false,0.01,1
3118,true,0.01,1
3123,true,0.01,1
3129,false,0.01,1
3135,true,0.01,1
3141,true,0.01,1
3146,true,0.01,1
3152,true,0.01,1
3158,true,0.01,1
3163,true,0.01,1
3169,true,0.01,1
3176,false,0.01,1
3182,true,0.01,1
3188,true,0.01,1
3192,false,0.01,1
3198,true,0.01,1
3201,false,0.01,1
3207,true,0.01,1
3213,true,0.01,1
3219,false,0.01,1
3225,true,0.01,1
3230,true,0.01,1
3235,true,0.01,1
3241,true,0.01,1
3246,false,0.01,1
3253,false,0.01,1
3259,true,0.01,1
3265,false,0.01,1
3271,true,0.01,1
3276,true,0.01,1
3280,true,0.01,1
3283,false,0.01,1
3287,true,0.01,1
3291,false,0.01,1
3295,true,0.01,1
3299,true,0.01,1
3303,true,0.01,1
3307,true,0.01,1
3311,false,0.01,1
3315,true,0.01,1
3319,false,0.01,1
3323,true,0.01,1
3328,false,0.01,1
3331,true,0.01,1
3334,false,0.01,1
3340,true,0.01,1
3344,false,0.01,1
3347,false,0.01,1
3351,false,0.01,1
3355,false,0.01,1
3359,true,0.01,1
3363,false,0.01,1
3367,true,0.01,1
3370,true,0.01,1
3373,false,0.01,1
3376,true,0.01,1
3379,true,0.01,1
3382,false,0.01,1
3385,true,0.01,1
3388,true,0.01,1
3391,false,0.01,1
3394,true,0.01,1
3397,true,0.01,1
3399,false,0.01,1
3403,true,0.01,1
3406,true,0.01,1
3409,false,0.01,1
3412,true,0.01,1
3415,true,0.01,1
3418,false,0.01,1
3421,true,0.01,1
3424,true,0.01,1
3427,false,0.01,1
3430,true,0.01,1
3434,true,0.01,1
3437,false,0.01,1
3440,true,0.01,1
3443,true,0.01,1
3446,false,0.01,1
3449,true,0.01,1
3452,true,0.01,1
3455,false,0.01,1
3458,true,0.01,1
3461,true,0.01,1
3464,false,0.01,1
3467,true,0.01,1
3470,true,0.01,1
3473,true,0.01,1
3476,true,0.01,1
3479,true,0.01,1
3482,true,0.01,1
3485,true,0.01,1
3488,false,0.01,1
3491,false,0.01,1
3493,true,0.01,1
3495,false,0.01,1
3497,false,0.01,1
3499,false,0.01,1
3501,true,0.01,1
3503,true,0.01,1
3505,false,0.01,1
3507,false,0.01,1
3509,false,0.01,1
3511,true,0.01,1
3513,false,0.01,1
3515,false,0.01,1
3517,false,0.01,1
3519,true,0.01,1
3521,true,0.01,1
3523,false,0.01,1
3525,false,0.01,1
3527,false,0.01,1
3529,true,0.01,1
3531,true,0.01,1
3533,true,0.01,1
3534,false,0.01,1
3536,false,0.01,1
3539,true,0.01,1
3541,true,0.01,1
3543,false,0.01,1
3545,false,0.01,1
3547,true,0.01,1
3549,true,0.01,1
3551,true,0.01,1
3553,false,0.01,1
3555,true,0.01,1
3557,true,0.01,1
3559,true,0.01,1
3561,false,0.01,1
3563,false,0.01,1
3565,true,0.01,1
3567,false,0.01,1
3569,false,0.01,1
3571,false,0.01,1
3573,true,0.01,1
3575,true,0.01,1
3577,false,0.01,1
3579,false,0.01,1
3581,false,0.01,1
3583,true,0.01,1
3585,false,0.01,1
3587,false,0.01,1
3589,false,0.01,1
3591,true,0.01,1
3593,true,0.01,1
3594,false,0.01,1
3597,false,0.01,1
3598,false,0.01,1
3600,true,0.01,1
3602,true,0.01,1
3604,false,0.01,1
3606,false,0.01,1
3608,false,0.01,1
3610,true,0.01,1
3612,false,0.01,1
3614,false,0.01,1
3616,false,0.01,1
3618,true,0.01,1
3620,true,0.01,1
3622,false,0.01,1
3624,false,0.01,1
3626,false,0.01,1
3628,true,0.01,1
3630,false,0.01,1
3632,false,0.01,1
3634,false,0.01,1
3636,true,0.01,1
3638,true,0.01,1
3640,false,0.01,1
3642,false,0.01,1
3644,false,0.01,1
3646,false,0.01,1
3648,false,0.01,1
3650,false,0.01,1
3652,false,0.01,1
3654,true,0.01,1
3656,false,0.01,1
3658,false,0.01,1
3660,false,0.01,1
3662,false,0.01,1
3664,false,0.01,1
3666,false,0.01,1
3668,false,0.01,1
3670,false,0.01,1
3672,false,0.01,1
3674,false,0.01,1
3676,false,0.01,1
3678,false,0.01,1
3680,false,0.01,1
3682,false,0.01,1
3684,false,0.01,1
3686,false,0.01,1
3688,false,0.01,1
3690,true,0.01,1
3692,false,0.01,1
3694,false,0.01,1
3696,false,0.01,1
3698,false,0.01,1
3700,false,0.01,1
3702,false,0.01,1
3704,false,0.01,1
3706,false,0.01,1
3708,true,0.01,1
3710,false,0.01,1
3712,false,0.01,1
3714,false,0.01,1
3716,false,0.01,1
3718,true,0.01,1
3720,false,0.01,1
3722,false,0.01,1
3724,false,0.01,1
3726,true,0.01,1
3728,false,0.01,1
3730,false,0.01,1
3732,false,0.01,1
3734,false,0.01,1
3736,true,0.01,1
3738,false,0.01,1
3740,false,0.01,1
3742,false,0.01,1
3744,true,0.01,1
3746,true,0.01,1
3748,false,0.01,1
3750,false,0.01,1
3752,false,0.01,1
3754,true,0.01,1
3756,false,0.01,1
3758,false,0.01,1
3760,false,0.01,1
3762,true,0.01,1
3764,true,0.01,1
3766,false,0.01,1
3768,false,0.01,1
3770,false,0.01,1
3772,true,0.01,1
3774,false,0.01,1
3776,false,0.01,1
3778,false,0.01,1
3780,true,0.01,1
3782,true,0.01,1
3784,false,0.01,1
3786,false,0.01,1
3787,false,0.01,1
3789,true,0.01,1
3791,true,0.01,1
3793,false,0.01,1
3795,false,0.01,1
3797,false,0.01,1
3799,true,0.01,1
3801,false,0.01,1
3803,false,0.01,1
3805,false,0.01,1
3806,false,0.01,1
3807,true,0.01,1
3808,true,0.01,1
3809,false,0.01,1
3810,false,0.01,1
3811,false,0.01,1
3812,false,0.01,1
3813,false,0.01,1
3814,false,0.01,1
3815,false,0.01,1
3816,true,0.01,1
3817,true,0.01,1
3818,true,0.01,1
3819,false,0.01,1
3820,false,0.01,1
3821,false,0.01,1
3822,false,0.01,1
3823,false,0.01,1
3824,false,0.01,1
3825,true,0.01,1
3826,true,0.01,1
3827,true,0.01,1
3828,false,0.01,1
3829,false,0.01,1
3830,false,0.01,1
3831,false,0.01,1
3832,false,0.01,1
3833,false,0.01,1
3834,true,0.01,1
3835,true,0.01,1
3836,true,0.01,1
3837,false,0.01,1
3838,false,0.01,1
3839,false,0.01,1
3840,false,0.01,1
3841,false,0.01,1
3842,false,0.01,1
3843,true,0.01,1
3844,true,0.01,1
3845,true,0.01,1
3846,false,0.01,1
3847,false,0.01,1
3848,false,0.01,1
3849,false,0.01,1
3850,false,0.01,1
3851,false,0.01,1
3852,true,0.01,1
3853,true,0.01,1
3854,true,0.01,1
3855,true,0.01,1
3856,true,0.01,1
3857,true,0.01,1
3858,false,0.01,1
3859,false,0.01,1
3860,false,0.01,1
3861,true,0.01,1
3862,true,0.01,1
3863,true,0.01,1
3864,false,0.01,1
3865,false,0.01,1
3866,true,0.01,1
3867,false,0.01,1
3868,false,0.01,1
3869,false,0.01,1
3870,true,0.01,1
3871,true,0.01,1
3872,true,0.01,1
3873,true,0.01,1
3874,true,0.01,1
3875,true,0.01,1
3876,false,0.01,1
3877,false,0.01,1
3878,false,0.01,1
3879,true,0.01,1
3880,true,0.01,1
3881,true,0.01,1
3882,true,0.01,1
3883,false,0.01,1
3884,true,0.01,1
3885,false,0.01,1
3886,false,0.01,1
3887,false,0.01,1
3888,false,0.01,1
3889,false,0.01,1
3890,false,0.01,1
3891,false,0.01,1
3892,false,0.01,1
3893,false,0.01,1
3894,false,0.01,1
3895,false,0.01,1
3896,false,0.01,1
3897,false,0.01,1
3898,false,0.01,1
3899,false,0.01,1
3900,false,0.01,1
3901,false,0.01,1
3902,false,0.01,1
3903,false,0.01,1
3904,false,0.01,1
3905,false,0.01,1
3906,false,0.01,1
3907,false,0.01,1
3908,false,0.01,1
3909,false,0.01,1
3910,false,0.01,1
3911,false,0.01,1
3912,false,0.01,1
3913,false,0.01,1
3914,false,0.01,1
3915,false,0.01,1
3916,false,0.01,1
3917,false,0.01,1
3918,false,0.01,1
3919,false,0.01,1
3920,false,0.01,1
3921,false,0.01,1
3922,false,0.01,1
3923,false,0.01,1
