TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55823,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0.2,0.5
55835,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0.5,0.5
55845,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0,0
55854,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0,0
55864,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0,0.2
55874,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0,0.5
55884,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.5,0.2,0
55894,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0.2,0.2
55905,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0.5,0
55915,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0.5,0.2
55924,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0.5,0.2
55934,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.2,0.5,0.5
55946,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0,0.5
55953,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0,0
55965,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0.2,0
55976,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0,0.2,0.5
55987,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0.5,0.2
55996,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0.5,0.2
56003,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0.2,0.5
56014,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.2,0.5,0.2
56024,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.5,0.5,0.5
56032,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0,0.5,0.2
56042,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.2,0.5,0.5
56052,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0,0,0
56062,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.2,0,0.2
56072,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.5,0,0.5
56083,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0,0.2,0.2
56093,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.2,0.2,0.5
56103,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.5,0.5,0
56113,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0,0.5,0.2
56124,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0.5,0,0
56134,0.5,0.5,0.2,0.5,0,0,0,0,0,0,0.2
56144,0.5,0.5,0.2,0.5,0,0,0,0,0.2,0,0.5
56150,0.5,0.5,0.2,0.5,0,0,0,0,0.2,0.5,0.5
56160,0.5,0.5,0.2,0.5,0,0,0,0.2,0,0,0
56165,0.5,0.5,0.2,0.5,0,0,0,0.2,0,0.2,0.5
56176,0.5,0.5,0.2,0.5,0,0,0,0.2,0.2,0.5,0.2
56188,0.5,0.5,0.2,0.5,0,0,0,0.5,0,0,0.2
56191,0.5,0.5,0.2,0.5,0,0,0,0.5,0,0.2,0.2
56206,0.5,0.5,0.2,0.5,0,0,0,0.5,0.5,0,0.2
56210,0.5,0.5,0.2,0.5,0,0,0,0.5,0.5,0.2,0.5
56222,0.5,0.5,0.2,0.5,0,0,0.2,0,0,0.5,0.5
56232,0.5,0.5,0.2,0.5,0,0,0.2,0,0.5,0,0
56238,0.5,0.5,0.2,0.5,0,0,0.2,0,0.5,0.5,0
56248,0.5,0.5,0.2,0.5,0,0,0.2,0.2,0,0.5,0.2
56256,0.5,0.5,0.2,0.5,0,0,0.2,0.2,0.2,0.5,0
56266,0.5,0.5,0.2,0.5,0,0,0.2,0.2,0.5,0.5,0.2
56275,0.5,0.5,0.2,0.5,0,0,0.2,0.5,0,0.5,0.2
56283,0.5,0.5,0.2,0.5,0,0,0.2,0.5,0.2,0.5,0
56295,0.5,0.5,0.2,0.5,0,0,0.5,0,0,0,0
