TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
43783,0.5,0,0.5,0,0,0,0,0.2,0.2,0.5,0.2
43792,0.5,0,0.5,0,0,0,0,0.2,0.5,0.5,0.2
43801,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0.2
43814,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0.5
43822,0.5,0,0.5,0,0,0,0.2,0,0,0,0.2
43832,0.5,0,0.5,0,0,0,0.2,0,0.2,0,0.5
43842,0.5,0,0.5,0,0,0,0.2,0,0.5,0.2,0
43855,0.5,0,0.5,0,0,0,0.2,0.2,0,0.5,0.2
43863,0.5,0,0.5,0,0,0,0.2,0.2,0.2,0.5,0
43869,0.5,0,0.5,0,0,0,0.2,0.2,0.5,0.2,0
43883,0.5,0,0.5,0,0,0,0.2,0.5,0,0.5,0.5
43893,0.5,0,0.5,0,0,0,0.2,0.5,0.5,0,0
43903,0.5,0,0.5,0,0,0,0.5,0,0,0,0.2
43914,0.5,0,0.5,0,0,0,0.5,0,0.2,0.2,0
43923,0.5,0,0.5,0,0,0,0.5,0,0.5,0.2,0
43932,0.5,0,0.5,0,0,0,0.5,0.2,0,0.2,0
43942,0.5,0,0.5,0,0,0,0.5,0.2,0.2,0.2,0.2
43952,0.5,0,0.5,0,0,0,0.5,0.2,0.5,0.2,0.5
43962,0.5,0,0.5,0,0,0,0.5,0.5,0,0.5,0
43974,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0
43984,0.5,0,0.5,0,0,0.2,0,0,0,0,0.2
