#---------- Tue Nov 29 16:12:11 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
24,true,0.01,1
31,true,0.01,1
37,true,0.01,1
45,true,0.01,1
54,true,0.01,1
62,true,0.01,1
70,true,0.01,1
78,true,0.01,1
84,true,0.01,1
92,true,0.01,1
102,true,0.01,1
108,true,0.01,1
115,true,0.01,1
125,true,0.01,1
134,true,0.01,1
142,true,0.01,1
149,true,0.01,1
157,true,0.01,1
164,false,0.01,1
175,true,0.01,1
185,true,0.01,1
194,true,0.01,1
205,true,0.01,1
214,true,0.01,1
226,true,0.01,1
233,true,0.01,1
246,true,0.01,1
253,true,0.01,1
265,true,0.01,1
274,true,0.01,1
283,true,0.01,1
291,true,0.01,1
300,true,0.01,1
310,true,0.01,1
320,true,0.01,1
329,true,0.01,1
339,false,0.01,1
349,true,0.01,1
359,true,0.01,1
372,true,0.01,1
382,true,0.01,1
392,true,0.01,1
400,true,0.01,1
405,false,0.01,1
418,true,0.01,1
428,true,0.01,1
438,false,0.01,1
444,true,0.01,1
455,true,0.01,1
469,true,0.01,1
476,true,0.01,1
489,true,0.01,1
498,true,0.01,1
506,true,0.01,1
520,true,0.01,1
530,true,0.01,1
538,true,0.01,1
546,true,0.01,1
556,true,0.01,1
567,true,0.01,1
577,true,0.01,1
587,true,0.01,1
597,true,0.01,1
607,true,0.01,1
617,true,0.01,1
627,false,0.01,1
637,true,0.01,1
647,true,0.01,1
656,false,0.01,1
666,true,0.01,1
676,true,0.01,1
686,true,0.01,1
696,true,0.01,1
706,true,0.01,1
716,true,0.01,1
726,false,0.01,1
736,false,0.01,1
746,true,0.01,1
756,true,0.01,1
770,true,0.01,1
778,true,0.01,1
786,true,0.01,1
794,true,0.01,1
807,true,0.01,1
817,false,0.01,1
830,true,0.01,1
838,true,0.01,1
845,true,0.01,1
858,true,0.01,1
868,true,0.01,1
873,true,0.01,1
884,true,0.01,1
896,true,0.01,1
905,true,0.01,1
915,false,0.01,1
923,true,0.01,1
934,true,0.01,1
947,true,0.01,1
954,true,0.01,1
962,true,0.01,1
972,true,0.01,1
980,false,0.01,1
990,true,0.01,1
1003,true,0.01,1
1011,true,0.01,1
1020,true,0.01,1
1029,true,0.01,1
1041,true,0.01,1
1051,true,0.01,1
1062,true,0.01,1
1071,true,0.01,1
1081,true,0.01,1
1087,false,0.01,1
1098,true,0.01,1
1107,true,0.01,1
1115,true,0.01,1
1125,true,0.01,1
1135,true,0.01,1
1146,false,0.01,1
1161,true,0.01,1
1171,true,0.01,1
1179,true,0.01,1
1184,true,0.01,1
1197,true,0.01,1
1203,false,0.01,1
1215,true,0.01,1
1222,false,0.01,1
1231,false,0.01,1
1240,false,0.01,1
1252,true,0.01,1
1261,true,0.01,1
1272,true,0.01,1
1280,true,0.01,1
1291,true,0.01,1
1295,true,0.01,1
1302,false,0.01,1
1311,false,0.01,1
1320,false,0.01,1
1329,false,0.01,1
1338,false,0.01,1
1347,false,0.01,1
1356,false,0.01,1
1366,false,0.01,1
1374,false,0.01,1
1385,false,0.01,1
1394,false,0.01,1
1403,false,0.01,1
1411,false,0.01,1
1418,true,0.01,1
1430,false,0.01,1
1442,true,0.01,1
1450,true,0.01,1
1457,false,0.01,1
1470,false,0.01,1
1480,false,0.01,1
1488,false,0.01,1
1498,false,0.01,1
1504,true,0.01,1
1514,false,0.01,1
1522,true,0.01,1
1532,true,0.01,1
1541,false,0.01,1
1549,false,0.01,1
1558,true,0.01,1
1567,true,0.01,1
1575,true,0.01,1
1584,true,0.01,1
1593,true,0.01,1
1602,true,0.01,1
1611,true,0.01,1
1620,true,0.01,1
1630,true,0.01,1
1639,true,0.01,1
1647,true,0.01,1
1656,true,0.01,1
1666,true,0.01,1
1675,true,0.01,1
1684,true,0.01,1
1693,true,0.01,1
1702,false,0.01,1
1712,false,0.01,1
1720,false,0.01,1
1730,false,0.01,1
1740,false,0.01,1
1748,false,0.01,1
1758,false,0.01,1
1769,false,0.01,1
1779,false,0.01,1
1784,false,0.01,1
1792,false,0.01,1
1801,false,0.01,1
1814,false,0.01,1
1820,false,0.01,1
1834,false,0.01,1
1836,true,0.01,1
1847,false,0.01,1
#---------- Tue Nov 29 18:56:51 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
4485,true,0.01,1
4494,true,0.01,1
4501,true,0.01,1
4511,true,0.01,1
4522,true,0.01,1
4534,true,0.01,1
4542,true,0.01,1
4552,true,0.01,1
4562,true,0.01,1
4570,true,0.01,1
4581,true,0.01,1
4591,true,0.01,1
4600,true,0.01,1
4610,true,0.01,1
4623,true,0.01,1
4631,true,0.01,1
4643,true,0.01,1
4651,true,0.01,1
4660,true,0.01,1
4671,true,0.01,1
4681,true,0.01,1
4691,true,0.01,1
4701,true,0.01,1
4711,true,0.01,1
4721,true,0.01,1
4731,true,0.01,1
4742,true,0.01,1
4751,true,0.01,1
4762,true,0.01,1
4772,true,0.01,1
4782,true,0.01,1
4790,true,0.01,1
4801,true,0.01,1
4810,true,0.01,1
4821,true,0.01,1
4830,true,0.01,1
4840,true,0.01,1
4849,true,0.01,1
4859,true,0.01,1
4869,false,0.01,1
4876,true,0.01,1
4885,true,0.01,1
4894,true,0.01,1
