TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/GH:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
55821,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.2,0.2,0
55831,0.5,0.5,0.2,0.2,0,0.2,0.5,0,0.5,0.2,0.2
55841,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0,0.2,0.5
55850,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.2,0.2,0.5
55859,0.5,0.5,0.2,0.2,0,0.2,0.5,0.2,0.5,0.2,0.5
55870,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0,0.5,0.2
55879,0.5,0.5,0.2,0.2,0,0.2,0.5,0.5,0.2,0.5,0.2
55890,0.5,0.5,0.2,0.2,0,0.5,0,0,0,0,0
55902,0.5,0.5,0.2,0.2,0,0.5,0,0,0.2,0.2,0
55912,0.5,0.5,0.2,0.2,0,0.5,0,0,0.5,0.2,0.2
55922,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0,0.2,0.5
55937,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0,0.5
55941,0.5,0.5,0.2,0.2,0,0.5,0,0.2,0.5,0.5,0
55950,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0,0.5,0
55959,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.2,0.5,0
55967,0.5,0.5,0.2,0.2,0,0.5,0,0.5,0.5,0.2,0.5
55980,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.2,0,0
55990,0.5,0.5,0.2,0.2,0,0.5,0.2,0,0.5,0,0.2
56000,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0,0,0.5
56010,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.2,0.2,0
56018,0.5,0.5,0.2,0.2,0,0.5,0.2,0.2,0.5,0,0.5
56034,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.2,0,0
56044,0.5,0.5,0.2,0.2,0,0.5,0.2,0.5,0.5,0,0.2
56054,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0,0,0.5
56065,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.2,0.2,0.2
56075,0.5,0.5,0.2,0.2,0,0.5,0.5,0,0.5,0.2,0.5
56085,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0,0.5,0
56096,0.5,0.5,0.2,0.2,0,0.5,0.5,0.2,0.2,0.5,0.5
56106,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0,0,0
56116,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0.2,0,0.2
56126,0.5,0.5,0.2,0.2,0,0.5,0.5,0.5,0.5,0,0.5
56136,0.5,0.5,0.2,0.5,0,0,0,0,0,0.2,0
56145,0.5,0.5,0.2,0.5,0,0,0,0,0.2,0.2,0
56157,0.5,0.5,0.2,0.5,0,0,0,0,0.5,0.5,0
56167,0.5,0.5,0.2,0.5,0,0,0,0.2,0,0.5,0.2
56179,0.5,0.5,0.2,0.5,0,0,0,0.2,0.5,0,0.2
56183,0.5,0.5,0.2,0.5,0,0,0,0.2,0.5,0.2,0.5
