#---------- Tue Nov 29 16:15:32 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
169,true,0.01,1
180,true,0.01,1
190,true,0.01,1
200,true,0.01,1
209,true,0.01,1
220,true,0.01,1
230,true,0.01,1
239,true,0.01,1
249,true,0.01,1
259,true,0.01,1
269,true,0.01,1
279,true,0.01,1
289,true,0.01,1
299,true,0.01,1
314,true,0.01,1
321,true,0.01,1
331,false,0.01,1
344,true,0.01,1
355,true,0.01,1
366,false,0.01,1
380,true,0.01,1
388,true,0.01,1
396,true,0.01,1
404,true,0.01,1
414,true,0.01,1
424,true,0.01,1
434,true,0.01,1
445,true,0.01,1
456,false,0.01,1
468,true,0.01,1
474,false,0.01,1
488,true,0.01,1
499,true,0.01,1
507,true,0.01,1
516,true,0.01,1
524,true,0.01,1
540,true,0.01,1
550,true,0.01,1
560,true,0.01,1
570,true,0.01,1
580,true,0.01,1
591,false,0.01,1
600,false,0.01,1
610,false,0.01,1
621,true,0.01,1
630,true,0.01,1
640,true,0.01,1
650,false,0.01,1
662,false,0.01,1
675,true,0.01,1
685,true,0.01,1
695,true,0.01,1
705,true,0.01,1
715,true,0.01,1
724,true,0.01,1
735,true,0.01,1
745,true,0.01,1
755,true,0.01,1
764,true,0.01,1
773,true,0.01,1
783,true,0.01,1
793,true,0.01,1
803,true,0.01,1
815,true,0.01,1
825,false,0.01,1
839,true,0.01,1
846,true,0.01,1
853,true,0.01,1
864,true,0.01,1
874,true,0.01,1
887,true,0.01,1
894,true,0.01,1
903,true,0.01,1
914,true,0.01,1
925,true,0.01,1
935,true,0.01,1
948,true,0.01,1
955,true,0.01,1
961,true,0.01,1
977,true,0.01,1
988,false,0.01,1
997,false,0.01,1
1007,false,0.01,1
1017,true,0.01,1
1027,true,0.01,1
1037,true,0.01,1
1048,true,0.01,1
1056,false,0.01,1
1069,false,0.01,1
1077,false,0.01,1
1085,true,0.01,1
1095,false,0.01,1
1105,false,0.01,1
1122,false,0.01,1
1133,true,0.01,1
1142,false,0.01,1
1152,true,0.01,1
1162,true,0.01,1
1172,true,0.01,1
1181,true,0.01,1
1190,true,0.01,1
1195,false,0.01,1
1204,false,0.01,1
1216,true,0.01,1
1225,true,0.01,1
1234,true,0.01,1
1243,true,0.01,1
1250,false,0.01,1
1259,true,0.01,1
1266,true,0.01,1
1278,true,0.01,1
1285,true,0.01,1
1296,true,0.01,1
1309,false,0.01,1
1317,true,0.01,1
1326,false,0.01,1
1337,true,0.01,1
1346,true,0.01,1
1355,true,0.01,1
1363,true,0.01,1
1371,true,0.01,1
1378,true,0.01,1
1390,false,0.01,1
1395,true,0.01,1
1405,true,0.01,1
1415,true,0.01,1
1424,true,0.01,1
1433,true,0.01,1
1441,true,0.01,1
1447,false,0.01,1
1458,false,0.01,1
1467,false,0.01,1
1478,false,0.01,1
1486,false,0.01,1
1494,true,0.01,1
1503,true,0.01,1
1513,true,0.01,1
1523,true,0.01,1
1534,false,0.01,1
1543,false,0.01,1
1554,false,0.01,1
1562,false,0.01,1
1568,true,0.01,1
1577,false,0.01,1
1590,false,0.01,1
1597,false,0.01,1
1607,true,0.01,1
1614,false,0.01,1
1622,true,0.01,1
1635,false,0.01,1
1638,true,0.01,1
1652,false,0.01,1
1659,false,0.01,1
1671,false,0.01,1
1683,true,0.01,1
1692,true,0.01,1
1700,false,0.01,1
1709,false,0.01,1
1717,false,0.01,1
1726,false,0.01,1
1736,false,0.01,1
1745,false,0.01,1
1752,false,0.01,1
1759,false,0.01,1
1770,false,0.01,1
1775,false,0.01,1
1790,false,0.01,1
1798,false,0.01,1
1804,false,0.01,1
1811,false,0.01,1
1822,false,0.01,1
1832,false,0.01,1
1837,true,0.01,1
1850,false,0.01,1
1858,false,0.01,1
1869,false,0.01,1
1876,false,0.01,1
1882,false,0.01,1
1892,false,0.01,1
1902,false,0.01,1
1909,true,0.01,1
1917,true,0.01,1
1925,false,0.01,1
1933,false,0.01,1
1941,false,0.01,1
1949,false,0.01,1
1957,false,0.01,1
1963,false,0.01,1
1973,false,0.01,1
1981,false,0.01,1
1990,false,0.01,1
2001,false,0.01,1
2007,false,0.01,1
2020,false,0.01,1
2026,false,0.01,1
2033,false,0.01,1
2040,false,0.01,1
2047,false,0.01,1
2054,false,0.01,1
2059,false,0.01,1
2066,false,0.01,1
2073,false,0.01,1
2079,true,0.01,1
2086,false,0.01,1
2093,false,0.01,1
2100,false,0.01,1
2107,false,0.01,1
2114,false,0.01,1
2121,false,0.01,1
2127,false,0.01,1
2135,false,0.01,1
2141,false,0.01,1
2148,false,0.01,1
2155,false,0.01,1
2162,false,0.01,1
2170,true,0.01,1
2179,true,0.01,1
2186,false,0.01,1
2193,true,0.01,1
2198,false,0.01,1
2201,true,0.01,1
2210,true,0.01,1
2217,true,0.01,1
2222,true,0.01,1
2229,true,0.01,1
2235,true,0.01,1
2242,true,0.01,1
2248,true,0.01,1
2255,true,0.01,1
2263,true,0.01,1
2269,true,0.01,1
2277,true,0.01,1
2284,true,0.01,1
2291,true,0.01,1
2298,true,0.01,1
2304,true,0.01,1
2311,true,0.01,1
2318,true,0.01,1
2325,true,0.01,1
2330,true,0.01,1
2337,true,0.01,1
2344,true,0.01,1
2351,true,0.01,1
2358,true,0.01,1
2365,true,0.01,1
2372,true,0.01,1
2379,true,0.01,1
2384,true,0.01,1
2391,true,0.01,1
2399,true,0.01,1
2406,true,0.01,1
2413,true,0.01,1
2420,true,0.01,1
2427,true,0.01,1
2434,true,0.01,1
2441,true,0.01,1
2450,true,0.01,1
2457,true,0.01,1
2467,true,0.01,1
2473,true,0.01,1
2480,true,0.01,1
2487,true,0.01,1
2493,true,0.01,1
2501,true,0.01,1
2508,true,0.01,1
2514,true,0.01,1
2522,true,0.01,1
2530,true,0.01,1
2537,true,0.01,1
2546,true,0.01,1
2554,true,0.01,1
2560,true,0.01,1
2566,true,0.01,1
2574,true,0.01,1
2580,true,0.01,1
2587,true,0.01,1
2593,false,0.01,1
2601,true,0.01,1
2609,false,0.01,1
2616,false,0.01,1
2621,true,0.01,1
2628,true,0.01,1
2636,false,0.01,1
2643,false,0.01,1
2649,true,0.01,1
2656,true,0.01,1
2663,true,0.01,1
2670,false,0.01,1
2677,true,0.01,1
2684,true,0.01,1
2693,true,0.01,1
2699,true,0.01,1
2706,true,0.01,1
2713,true,0.01,1
2720,false,0.01,1
2727,true,0.01,1
2735,true,0.01,1
2742,true,0.01,1
2749,true,0.01,1
2755,true,0.01,1
2763,true,0.01,1
2770,false,0.01,1
2777,true,0.01,1
2784,true,0.01,1
2791,true,0.01,1
2798,false,0.01,1
2805,false,0.01,1
2812,true,0.01,1
2819,true,0.01,1
