#---------- Tue Nov 29 16:11:53 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
16,true,0.01,1
22,true,0.01,1
27,true,0.01,1
34,true,0.01,1
41,true,0.01,1
49,true,0.01,1
55,true,0.01,1
64,true,0.01,1
75,true,0.01,1
81,true,0.01,1
89,true,0.01,1
97,true,0.01,1
105,true,0.01,1
113,true,0.01,1
121,true,0.01,1
129,true,0.01,1
137,true,0.01,1
145,true,0.01,1
154,true,0.01,1
162,false,0.01,1
173,true,0.01,1
183,true,0.01,1
192,true,0.01,1
202,true,0.01,1
212,true,0.01,1
223,true,0.01,1
235,true,0.01,1
244,true,0.01,1
256,true,0.01,1
264,true,0.01,1
272,true,0.01,1
285,true,0.01,1
297,true,0.01,1
307,true,0.01,1
317,true,0.01,1
330,false,0.01,1
340,true,0.01,1
350,true,0.01,1
361,true,0.01,1
368,true,0.01,1
381,true,0.01,1
391,true,0.01,1
397,true,0.01,1
407,false,0.01,1
421,false,0.01,1
430,false,0.01,1
440,true,0.01,1
450,true,0.01,1
461,true,0.01,1
465,false,0.01,1
478,true,0.01,1
486,true,0.01,1
496,true,0.01,1
509,true,0.01,1
518,true,0.01,1
527,true,0.01,1
536,true,0.01,1
545,true,0.01,1
554,true,0.01,1
564,true,0.01,1
574,false,0.01,1
584,false,0.01,1
595,true,0.01,1
605,true,0.01,1
614,true,0.01,1
622,true,0.01,1
631,true,0.01,1
641,true,0.01,1
651,false,0.01,1
658,true,0.01,1
672,false,0.01,1
678,false,0.01,1
689,true,0.01,1
702,true,0.01,1
710,false,0.01,1
723,true,0.01,1
733,true,0.01,1
743,true,0.01,1
753,false,0.01,1
765,true,0.01,1
775,true,0.01,1
789,true,0.01,1
799,true,0.01,1
809,true,0.01,1
819,true,0.01,1
824,true,0.01,1
832,true,0.01,1
847,true,0.01,1
854,true,0.01,1
870,true,0.01,1
879,true,0.01,1
890,true,0.01,1
900,true,0.01,1
910,true,0.01,1
920,true,0.01,1
930,true,0.01,1
940,true,0.01,1
950,true,0.01,1
960,true,0.01,1
970,true,0.01,1
982,true,0.01,1
993,true,0.01,1
1000,true,0.01,1
1012,true,0.01,1
1021,true,0.01,1
1031,true,0.01,1
1040,true,0.01,1
1050,true,0.01,1
1060,false,0.01,1
1067,true,0.01,1
1080,true,0.01,1
1086,false,0.01,1
1097,false,0.01,1
1113,false,0.01,1
1123,false,0.01,1
1132,false,0.01,1
1144,true,0.01,1
1154,true,0.01,1
1163,true,0.01,1
1173,true,0.01,1
1182,true,0.01,1
1191,true,0.01,1
1200,true,0.01,1
1209,true,0.01,1
1218,true,0.01,1
1227,true,0.01,1
1236,true,0.01,1
1245,true,0.01,1
1254,true,0.01,1
1262,true,0.01,1
1273,true,0.01,1
1277,true,0.01,1
1284,true,0.01,1
1298,true,0.01,1
1308,false,0.01,1
1318,true,0.01,1
1327,true,0.01,1
1335,true,0.01,1
1344,true,0.01,1
1353,true,0.01,1
1359,true,0.01,1
1369,true,0.01,1
1377,true,0.01,1
1387,true,0.01,1
1396,true,0.01,1
1404,true,0.01,1
1413,true,0.01,1
1422,true,0.01,1
1431,true,0.01,1
1439,false,0.01,1
1452,true,0.01,1
1460,false,0.01,1
1469,false,0.01,1
1477,false,0.01,1
1487,false,0.01,1
1497,false,0.01,1
1506,false,0.01,1
1515,false,0.01,1
1529,false,0.01,1
1536,false,0.01,1
1539,true,0.01,1
1548,true,0.01,1
1557,true,0.01,1
1566,false,0.01,1
1576,true,0.01,1
1585,true,0.01,1
1594,true,0.01,1
1603,true,0.01,1
1612,true,0.01,1
1621,true,0.01,1
1629,true,0.01,1
1645,false,0.01,1
1650,false,0.01,1
1663,false,0.01,1
1669,false,0.01,1
1680,false,0.01,1
1691,false,0.01,1
1701,false,0.01,1
1710,false,0.01,1
1719,false,0.01,1
1728,false,0.01,1
1737,false,0.01,1
1750,false,0.01,1
1756,false,0.01,1
1765,true,0.01,1
1777,false,0.01,1
1787,false,0.01,1
1797,false,0.01,1
1803,false,0.01,1
1813,false,0.01,1
1819,false,0.01,1
1835,false,0.01,1
1844,false,0.01,1
1851,false,0.01,1
1854,true,0.01,1
1864,false,0.01,1
1873,false,0.01,1
1883,false,0.01,1
1890,true,0.01,1
1898,false,0.01,1
1906,false,0.01,1
1915,false,0.01,1
1922,false,0.01,1
1932,false,0.01,1
1938,false,0.01,1
1946,false,0.01,1
1955,false,0.01,1
1962,false,0.01,1
1974,false,0.01,1
1980,false,0.01,1
1991,false,0.01,1
1997,false,0.01,1
2005,false,0.01,1
2013,false,0.01,1
2021,false,0.01,1
2028,false,0.01,1
2035,false,0.01,1
2042,false,0.01,1
2049,false,0.01,1
2056,false,0.01,1
2063,false,0.01,1
2068,false,0.01,1
2075,false,0.01,1
2082,false,0.01,1
2087,false,0.01,1
2094,false,0.01,1
2101,false,0.01,1
2108,false,0.01,1
2117,false,0.01,1
2125,false,0.01,1
2132,false,0.01,1
2140,false,0.01,1
2147,false,0.01,1
2153,false,0.01,1
2161,true,0.01,1
2167,false,0.01,1
2174,false,0.01,1
2181,false,0.01,1
2188,true,0.01,1
2195,true,0.01,1
2202,true,0.01,1
2209,true,0.01,1
2215,true,0.01,1
2221,true,0.01,1
2228,true,0.01,1
2236,true,0.01,1
2243,true,0.01,1
2252,false,0.01,1
2258,true,0.01,1
2265,true,0.01,1
2271,true,0.01,1
2276,true,0.01,1
2283,true,0.01,1
2290,true,0.01,1
2297,true,0.01,1
2307,true,0.01,1
2312,true,0.01,1
2319,true,0.01,1
2326,true,0.01,1
2332,true,0.01,1
2340,true,0.01,1
2347,true,0.01,1
2354,true,0.01,1
2361,true,0.01,1
2367,true,0.01,1
2373,true,0.01,1
2380,true,0.01,1
2387,true,0.01,1
2394,true,0.01,1
2404,true,0.01,1
2409,true,0.01,1
2416,true,0.01,1
2425,true,0.01,1
2431,true,0.01,1
2437,true,0.01,1
2444,true,0.01,1
2451,true,0.01,1
2459,true,0.01,1
2466,true,0.01,1
2477,false,0.01,1
2483,true,0.01,1
2490,true,0.01,1
2497,true,0.01,1
2502,true,0.01,1
2513,true,0.01,1
2520,true,0.01,1
2527,false,0.01,1
2534,true,0.01,1
2541,true,0.01,1
2548,true,0.01,1
2555,true,0.01,1
2562,true,0.01,1
2569,true,0.01,1
2575,true,0.01,1
2582,true,0.01,1
2589,true,0.01,1
2596,false,0.01,1
2604,false,0.01,1
2612,true,0.01,1
2618,false,0.01,1
2625,false,0.01,1
2631,true,0.01,1
2637,true,0.01,1
2645,false,0.01,1
2653,false,0.01,1
2660,true,0.01,1
2668,true,0.01,1
2675,true,0.01,1
2682,true,0.01,1
2692,true,0.01,1
2697,true,0.01,1
2704,true,0.01,1
2711,true,0.01,1
2719,true,0.01,1
2726,true,0.01,1
2732,true,0.01,1
2740,true,0.01,1
2747,true,0.01,1
2754,true,0.01,1
2761,false,0.01,1
2768,true,0.01,1
2776,true,0.01,1
2781,true,0.01,1
2788,false,0.01,1
2795,true,0.01,1
2802,true,0.01,1
2807,true,0.01,1
2815,false,0.01,1
2822,true,0.01,1
2827,true,0.01,1
2836,false,0.01,1
2844,false,0.01,1
2852,false,0.01,1
2858,false,0.01,1
2864,true,0.01,1
2870,false,0.01,1
2876,false,0.01,1
2882,true,0.01,1
2888,false,0.01,1
2894,true,0.01,1
2902,true,0.01,1
2908,true,0.01,1
2914,false,0.01,1
2920,true,0.01,1
2924,true,0.01,1
2930,true,0.01,1
2937,true,0.01,1
2942,true,0.01,1
2948,true,0.01,1
2954,true,0.01,1
2960,true,0.01,1
2965,true,0.01,1
2971,true,0.01,1
2979,true,0.01,1
2985,true,0.01,1
2991,true,0.01,1
2996,true,0.01,1
3002,true,0.01,1
3008,true,0.01,1
3013,false,0.01,1
3019,true,0.01,1
3025,true,0.01,1
3030,true,0.01,1
3036,true,0.01,1
3042,true,0.01,1
3048,true,0.01,1
3054,true,0.01,1
3060,true,0.01,1
3066,true,0.01,1
3072,true,0.01,1
3078,true,0.01,1
3085,false,0.01,1
3090,true,0.01,1
3096,true,0.01,1
3102,false,0.01,1
3107,true,0.01,1
3113,false,0.01,1
3121,false,0.01,1
3127,true,0.01,1
3133,true,0.01,1
3139,true,0.01,1
3144,true,0.01,1
3150,true,0.01,1
3156,true,0.01,1
3162,true,0.01,1
3168,true,0.01,1
3174,false,0.01,1
3180,true,0.01,1
3185,false,0.01,1
3191,true,0.01,1
3197,true,0.01,1
3205,true,0.01,1
3211,true,0.01,1
3216,true,0.01,1
3222,true,0.01,1
3228,false,0.01,1
3236,true,0.01,1
3242,true,0.01,1
3248,false,0.01,1
3254,false,0.01,1
3260,true,0.01,1
#---------- Tue Nov 29 18:56:47 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
4483,true,0.01,1
4495,true,0.01,1
4503,true,0.01,1
4512,true,0.01,1
4521,true,0.01,1
4531,true,0.01,1
4541,false,0.01,1
4554,true,0.01,1
4565,true,0.01,1
4574,true,0.01,1
4587,true,0.01,1
4595,true,0.01,1
4605,true,0.01,1
4615,true,0.01,1
4625,true,0.01,1
4635,true,0.01,1
4647,true,0.01,1
4657,true,0.01,1
4667,true,0.01,1
4678,true,0.01,1
4686,true,0.01,1
4697,true,0.01,1
4706,true,0.01,1
4717,true,0.01,1
4727,true,0.01,1
4740,true,0.01,1
4749,true,0.01,1
4759,true,0.01,1
4769,true,0.01,1
4781,false,0.01,1
4792,true,0.01,1
4802,true,0.01,1
4812,true,0.01,1
4820,true,0.01,1
4832,true,0.01,1
4842,true,0.01,1
4852,true,0.01,1
4863,true,0.01,1
4873,true,0.01,1
4882,true,0.01,1
4892,true,0.01,1
4902,true,0.01,1
4913,true,0.01,1
4924,true,0.01,1
4934,false,0.01,1
4943,true,0.01,1
4954,true,0.01,1
4965,true,0.01,1
4974,true,0.01,1
4983,true,0.01,1
4992,true,0.01,1
5003,true,0.01,1
5013,true,0.01,1
5023,false,0.01,1
5033,true,0.01,1
5046,false,0.01,1
5051,true,0.01,1
5062,true,0.01,1
5070,true,0.01,1
5079,true,0.01,1
5087,true,0.01,1
5096,true,0.01,1
5103,true,0.01,1
5112,true,0.01,1
5122,false,0.01,1
5128,true,0.01,1
5135,true,0.01,1
5145,true,0.01,1
5151,true,0.01,1
5159,false,0.01,1
5165,true,0.01,1
5172,true,0.01,1
5177,false,0.01,1
5184,true,0.01,1
5192,true,0.01,1
5200,true,0.01,1
5208,true,0.01,1
5216,true,0.01,1
5224,true,0.01,1
5232,true,0.01,1
5238,true,0.01,1
5247,true,0.01,1
5256,true,0.01,1
5266,true,0.01,1
5273,true,0.01,1
5281,true,0.01,1
5289,true,0.01,1
5297,true,0.01,1
5305,true,0.01,1
5312,true,0.01,1
5322,true,0.01,1
5327,true,0.01,1
5335,true,0.01,1
5343,true,0.01,1
5351,false,0.01,1
5359,true,0.01,1
5368,true,0.01,1
5376,true,0.01,1
5384,false,0.01,1
5390,true,0.01,1
5398,true,0.01,1
5406,true,0.01,1
5412,true,0.01,1
5421,true,0.01,1
5430,true,0.01,1
5436,true,0.01,1
5444,false,0.01,1
5452,true,0.01,1
5460,true,0.01,1
5468,true,0.01,1
5476,true,0.01,1
5484,true,0.01,1
5489,true,0.01,1
5497,true,0.01,1
5505,true,0.01,1
5513,false,0.01,1
5522,true,0.01,1
5531,true,0.01,1
5539,true,0.01,1
5546,true,0.01,1
5555,true,0.01,1
5563,true,0.01,1
5571,true,0.01,1
5579,true,0.01,1
5587,true,0.01,1
5595,true,0.01,1
