#---------- Tue Nov 29 16:12:00 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
19,true,0.01,1
28,true,0.01,1
36,true,0.01,1
44,true,0.01,1
52,true,0.01,1
59,true,0.01,1
66,true,0.01,1
71,true,0.01,1
79,true,0.01,1
87,true,0.01,1
94,true,0.01,1
101,true,0.01,1
109,true,0.01,1
116,true,0.01,1
126,true,0.01,1
131,true,0.01,1
140,true,0.01,1
148,true,0.01,1
153,true,0.01,1
161,true,0.01,1
171,true,0.01,1
181,true,0.01,1
191,true,0.01,1
201,true,0.01,1
211,true,0.01,1
221,true,0.01,1
229,true,0.01,1
241,true,0.01,1
251,true,0.01,1
261,true,0.01,1
271,true,0.01,1
284,true,0.01,1
290,true,0.01,1
303,true,0.01,1
313,true,0.01,1
323,true,0.01,1
333,true,0.01,1
341,true,0.01,1
352,true,0.01,1
362,true,0.01,1
371,true,0.01,1
379,true,0.01,1
386,true,0.01,1
402,true,0.01,1
412,false,0.01,1
422,false,0.01,1
432,true,0.01,1
442,true,0.01,1
452,true,0.01,1
462,true,0.01,1
472,true,0.01,1
480,true,0.01,1
492,true,0.01,1
502,true,0.01,1
511,true,0.01,1
521,true,0.01,1
531,true,0.01,1
541,true,0.01,1
551,true,0.01,1
561,true,0.01,1
571,true,0.01,1
582,false,0.01,1
590,true,0.01,1
601,false,0.01,1
611,true,0.01,1
624,true,0.01,1
634,true,0.01,1
644,true,0.01,1
652,false,0.01,1
663,false,0.01,1
669,true,0.01,1
679,true,0.01,1
691,false,0.01,1
698,true,0.01,1
708,false,0.01,1
718,false,0.01,1
730,true,0.01,1
740,true,0.01,1
750,true,0.01,1
758,true,0.01,1
769,true,0.01,1
777,true,0.01,1
785,true,0.01,1
798,true,0.01,1
808,true,0.01,1
818,true,0.01,1
828,true,0.01,1
834,false,0.01,1
848,true,0.01,1
855,true,0.01,1
862,true,0.01,1
878,true,0.01,1
888,true,0.01,1
899,true,0.01,1
908,true,0.01,1
918,true,0.01,1
927,true,0.01,1
937,true,0.01,1
943,true,0.01,1
957,true,0.01,1
964,true,0.01,1
973,true,0.01,1
981,true,0.01,1
991,true,0.01,1
1001,true,0.01,1
1013,true,0.01,1
1023,true,0.01,1
1033,true,0.01,1
1044,true,0.01,1
1054,true,0.01,1
1064,true,0.01,1
1074,true,0.01,1
1084,true,0.01,1
1094,true,0.01,1
1104,false,0.01,1
1114,false,0.01,1
1124,true,0.01,1
1134,true,0.01,1
1143,true,0.01,1
1153,true,0.01,1
1164,true,0.01,1
1175,true,0.01,1
1185,false,0.01,1
1194,false,0.01,1
1207,true,0.01,1
1214,true,0.01,1
1224,true,0.01,1
1232,false,0.01,1
1241,false,0.01,1
1253,true,0.01,1
1264,true,0.01,1
1270,true,0.01,1
1281,true,0.01,1
1286,true,0.01,1
1293,true,0.01,1
1303,false,0.01,1
1312,false,0.01,1
1321,false,0.01,1
1330,false,0.01,1
1339,false,0.01,1
1348,false,0.01,1
1361,true,0.01,1
1370,true,0.01,1
1380,false,0.01,1
1388,true,0.01,1
1400,false,0.01,1
1412,false,0.01,1
1421,false,0.01,1
1427,true,0.01,1
1437,false,0.01,1
1449,true,0.01,1
1455,false,0.01,1
1464,false,0.01,1
1474,false,0.01,1
1483,false,0.01,1
1492,false,0.01,1
1502,false,0.01,1
1510,false,0.01,1
1512,true,0.01,1
1524,false,0.01,1
1535,false,0.01,1
1547,false,0.01,1
1556,false,0.01,1
1561,false,0.01,1
1572,false,0.01,1
1579,false,0.01,1
1586,true,0.01,1
1595,false,0.01,1
1606,false,0.01,1
1619,false,0.01,1
1628,false,0.01,1
1631,true,0.01,1
1644,false,0.01,1
1649,true,0.01,1
1658,true,0.01,1
1667,true,0.01,1
1676,true,0.01,1
1685,true,0.01,1
1694,true,0.01,1
1703,false,0.01,1
1711,false,0.01,1
1721,false,0.01,1
1733,false,0.01,1
1741,false,0.01,1
1751,false,0.01,1
1761,false,0.01,1
1764,true,0.01,1
1776,false,0.01,1
1785,false,0.01,1
1799,false,0.01,1
1807,false,0.01,1
1816,false,0.01,1
1824,false,0.01,1
1829,true,0.01,1
1841,false,0.01,1
1845,true,0.01,1
1855,true,0.01,1
